%E,%e,%S,%U,%P,%M,%K,%D,%p,%X,%Z,%F,%R,%W,%c,%w,%I,%O,%r,%s,%k,%C,%x
0:08.72,8.72,0.33,2.28,29%,71956,0,0,0,0,4096,0,34010,0,124,1398,0,0,0,0,0,docker-compose up -d,0
0:08.69,8.69,0.36,2.28,30%,71984,0,0,0,0,4096,0,34030,0,119,1281,0,0,0,0,0,docker-compose up -d,0
0:08.68,8.68,0.36,2.32,30%,71864,0,0,0,0,4096,0,34017,0,168,1310,0,0,0,0,0,docker-compose up -d,0
0:08.81,8.81,0.29,2.43,30%,72056,0,0,0,0,4096,0,34017,0,96,1334,0,0,0,0,0,docker-compose up -d,0
0:08.70,8.70,0.38,2.22,30%,71924,0,0,0,0,4096,0,34049,0,101,1289,0,0,0,0,0,docker-compose up -d,0
0:08.74,8.74,0.31,2.27,29%,71856,0,0,0,0,4096,0,34026,0,104,1449,0,0,0,0,0,docker-compose up -d,0
0:08.77,8.77,0.31,2.31,29%,72036,0,0,0,0,4096,0,34034,0,134,1404,0,0,0,0,0,docker-compose up -d,0
0:08.85,8.85,0.30,2.29,29%,71968,0,0,0,0,4096,0,34042,0,110,1344,0,0,0,0,0,docker-compose up -d,0
0:08.69,8.69,0.36,2.26,30%,71960,0,0,0,0,4096,0,34047,0,107,1612,0,0,0,0,0,docker-compose up -d,0
0:08.80,8.80,0.35,2.31,30%,71844,0,0,0,0,4096,0,34024,0,101,1417,0,0,0,0,0,docker-compose up -d,0
0:08.78,8.78,0.32,2.31,29%,72016,0,0,0,0,4096,0,34039,0,110,1355,0,0,0,0,0,docker-compose up -d,0
0:08.71,8.71,0.30,2.31,30%,71976,0,0,0,0,4096,0,34027,0,123,1525,0,0,0,0,0,docker-compose up -d,0
0:08.68,8.68,0.32,2.28,30%,72028,0,0,0,0,4096,0,34070,0,106,1322,0,0,0,0,0,docker-compose up -d,0
0:08.70,8.70,0.28,2.31,29%,71980,0,0,0,0,4096,0,34045,0,123,1219,0,0,0,0,0,docker-compose up -d,0
0:08.74,8.74,0.35,2.32,30%,71788,0,0,0,0,4096,0,34033,0,103,1428,0,0,0,0,0,docker-compose up -d,0
0:08.68,8.68,0.36,2.25,30%,71956,0,0,0,0,4096,0,34067,0,128,1400,0,0,0,0,0,docker-compose up -d,0
0:08.79,8.79,0.35,2.30,30%,72016,0,0,0,0,4096,0,34035,0,125,1489,0,0,0,0,0,docker-compose up -d,0
0:08.85,8.85,0.32,2.33,30%,72032,0,0,0,0,4096,0,34044,0,140,1476,0,0,0,0,0,docker-compose up -d,0
0:08.59,8.59,0.31,2.25,29%,72020,0,0,0,0,4096,0,34023,0,100,1238,0,0,0,0,0,docker-compose up -d,0
0:10.33,10.33,0.35,2.37,26%,71948,0,0,0,0,4096,0,34081,0,272,1358,0,0,0,0,0,docker-compose up -d,0
0:08.61,8.61,0.34,2.26,30%,72080,0,0,0,0,4096,0,34034,0,108,1447,0,0,0,0,0,docker-compose up -d,0
0:08.95,8.95,0.35,2.37,30%,72036,0,0,0,0,4096,0,34026,0,173,1354,0,0,0,0,0,docker-compose up -d,0
0:09.16,9.16,0.36,2.54,31%,71796,0,0,0,0,4096,0,34024,0,154,1511,0,0,0,0,0,docker-compose up -d,0
0:11.12,11.12,0.36,2.60,26%,72036,0,0,0,0,4096,0,34043,0,303,1479,0,0,0,0,0,docker-compose up -d,0
0:09.98,9.98,0.46,2.63,31%,72072,0,0,0,0,4096,0,34026,0,295,1461,0,0,0,0,0,docker-compose up -d,0
0:10.09,10.09,0.33,2.39,27%,72076,0,0,0,0,4096,0,34044,0,183,1361,0,0,0,0,0,docker-compose up -d,0
0:08.87,8.87,0.30,2.39,30%,72136,0,0,0,0,4096,0,34019,0,147,1356,0,0,0,0,0,docker-compose up -d,0
0:10.88,10.88,0.36,2.39,25%,71996,0,0,0,0,4096,0,34033,0,293,1509,0,0,0,0,0,docker-compose up -d,0
0:08.74,8.74,0.33,2.25,29%,71852,0,0,0,0,4096,0,34033,0,149,1552,0,0,0,0,0,docker-compose up -d,0
0:11.94,11.94,0.40,3.03,28%,71792,0,0,0,0,4096,0,34039,0,347,1417,0,0,0,0,0,docker-compose up -d,0
